Created_at;tweets
2020-03-19 19:43:46;@WhiteHouse @realDonaldTrump That's not how it works. I have lost all my money in my 401K. Thanks to your stupidity.
2020-03-19 19:43:43;@siminj @kasraNejat1 @SecPompeo @CommerceGov @NCRIUS @A_Jafarzadeh @WhiteHouse @StateDept I said IAEA reports which… https://t.co/ODzl476Cey
2020-03-19 19:43:42;"@WhiteHouse YOU SCREWED THIS UP! YOU CARED MORE ABOUT BASHING THE DEMS &amp; TRYING TO MAKE YOURSELF LOOK GOOD THAN HUM… https://t.co/hqhrO51u4q"
2020-03-19 19:43:41;@TIN_Normal @WhiteHouse @realDonaldTrump @fema A stupid man's report of what a clever man says can never be accurat… https://t.co/f1BDBOH55Q
2020-03-19 19:43:40;@WhiteHouse @realDonaldTrump Are you going to award yourself a medal for creating this mess in the first place and… https://t.co/bR4v8nVBDg
2020-03-19 19:43:38;@WhiteHouse @realDonaldTrump Oh no, it won't not as long as you are in charge!
2020-03-19 19:43:38;@WhiteHouse @realDonaldTrump CAN WE GET CLOVID 19 FROM EATING ARE OWN POOP
2020-03-19 19:43:37;@AlOtto18 @WhiteHouse @realDonaldTrump @fema Those are all quotes from the president. Were any of inaccurately quot… https://t.co/7AouSNJ2eI
2020-03-19 19:43:35;"Where is Dr. Fauci?? Where is the CDC Director? 

More important, why is the federal government hoarding the stockp… https://t.co/OvXdbI2iRw"
2020-03-19 19:43:35;@WhiteHouse @realDonaldTrump @fema You’re doing a wonderful job, Mr President! But you knew. Thank you!
2020-03-19 19:43:33;@WhiteHouse But in the meantime it will be total devastation to the economy.
2020-03-19 19:43:33;@WhiteHouse @realDonaldTrump In the midst of this crisis strong and advanced countries must remember that this viru… https://t.co/PmlfU3qX5I
2020-03-19 19:43:30;@american_1812 @WhiteHouse @realDonaldTrump @HouseDemocrats The bots are out in full force
2020-03-19 19:43:28;@alexpigeon @WhiteHouse Retweet
2020-03-19 19:43:27;"@WhiteHouse @realDonaldTrump @fema #Intelligence #Chairman Raised #Virus Alarms Weeks Ago, Secret Recording Shows
https://t.co/rLIDfdVn28"
2020-03-19 19:43:26;Check this out!!! People should see how savage @ChanelRion was at the press briefing at the @WhiteHouse. As the… https://t.co/WgOkKuoSp4
2020-03-19 19:43:26;"""Spanish"" flu started in the USA 😊 https://t.co/fYJmgOsBaI"
2020-03-19 19:43:25;"@tedlieu @WhiteHouse You can call the Wuhan virus whatever you want. 

Just stop pestering the rest of us."
2020-03-19 19:43:24;@RachelPatzerPhD If you check the numbers you'll probably notice not many children are sick or dead, that's if you… https://t.co/BcrGfmPtcK
2020-03-19 19:43:23;@BigDeal151 @WhiteHouse @realDonaldTrump @fema NONE of those are based on the Corruption that everyone knows happens in New Orleans.
2020-03-19 19:43:22;"@WhiteHouse The origin of the Spanish flu is a militar settlement of the USA

It was known as Spanish because it wa… https://t.co/wrLb6hX7Ws"
2020-03-19 19:43:22;Why is America going to subsidize Saudi Arabia?  .@WhiteHouse @realDonaldTrump @JohnCornyn @SenatorDurbin… https://t.co/kUolwtLxn8
2020-03-19 19:43:22;@tedlieu @WhiteHouse It’s the Chinese Virus. You’ve been overruled! Trump 2020 🇺🇸, Trump 2024 🇺🇸, Trump 2028 🇺🇸, Tr… https://t.co/BReJ00pFgh
2020-03-19 19:43:19;We need the US to step up and help protect the world from #COVID19. @realDonaldTrump @WhiteHouse will you release… https://t.co/7YRLmrBmsr
2020-03-19 19:43:18;@tedlieu @WhiteHouse Please Ted - figure out what he’s trying to distract us from. He’s doing something and using t… https://t.co/pZFlR2fzFy
2020-03-19 19:43:18;@Obijuangonzalez @WhiteHouse @realDonaldTrump @fema A stupid man's report of what a clever man says can never be ac… https://t.co/FNWn0VsC5E
2020-03-19 19:43:18;@WhiteHouse Thank you!!!
2020-03-19 19:43:17;@HarryMi47749146 @truthsearch1957 @Dkmorris0204 @RosaleeAdams @Pawleybaby1999 @Stevest39589292 @NoGuff1 @MOLEONE… https://t.co/bCKezH1VTx
2020-03-19 19:43:15;@SenatorBurr @WhiteHouse How do you sleep at night knowing how many American lives you have cost?
