Created_at;tweets
2020-03-19 18:31:16;"@WhiteHouse @realDonaldTrump THANKFULLY TRUMP WILL NOT BE PRESIDENT WHEN THAT HAPPENS!!!  

TRUMP IS A TREMENDOUS FAILURE!"
2020-03-19 18:31:16;@SenatorBurr is LITERALLY a TRAITOR to this country, as he had crucial intelligence on the #coronavirus and the… https://t.co/bhybcb1Ci0
2020-03-19 18:31:16;@WhiteHouse @TomColeOK04 @Mike_Pence Pure fluff infomercial. Flex seal’s is better.
2020-03-19 18:31:15;@URBrain_Dead @WhiteHouse @SteveFDA @mtosterholm @realDonaldTrump That’s a better idea, sports stadiums in every bi… https://t.co/FWr24FfVt1
2020-03-19 18:31:15;@WhiteHouse @realDonaldTrump Bring Bryan Nerren home from India next!
2020-03-19 18:31:15;@JackRoberts889 @SuiGeneris24601 @WhiteHouse I don’t take the misinformation that the news feeds me and eat it up.… https://t.co/6qcedpPuGW
2020-03-19 18:31:11;"@WhiteHouse @realDonaldTrump Why did it have to be like dat?
Why did that Chinaman eat that Bat?
#Wuhan… https://t.co/kMxRqIqQrY"
2020-03-19 18:31:10;"Two things:
1-Chanel Rion was planted in that presser by @WhiteHouse to specifically signal boost this. It was stag… https://t.co/hXJ2kHcpTt"
2020-03-19 18:31:10;@WhiteHouse @realDonaldTrump Yet another woman in the background blinking out a message. A common trend. Watch clip… https://t.co/iJwP5yPeRQ
2020-03-19 18:31:10;"@DN433 @LamesLankford @patrick32068 @WhiteHouse @US_FDA @FTC And there it is, Mud lost the argument.

#🤡"
2020-03-19 18:31:10;@joncoopertweets I honestly dont care if it was a tree stump, as long as that miserable excuse for a man abusing th… https://t.co/qkWPw7sHU0
2020-03-19 18:31:09;@WhiteHouse @realDonaldTrump He needs to stop calling it #ChineseVirus to all #AsianAmericans… https://t.co/mo4TCpnmwG
2020-03-19 18:31:08;@WhiteHouse Shut up. Get off Twitter. Start taking this seriously.
2020-03-19 18:31:06;@RepJasonSmith @WhiteHouse timely
2020-03-19 18:31:05;@WhiteHouse @DutyOfAPatriot Can you please tell us how you are going to pay the debt off.
2020-03-19 18:31:03;@tedlieu @WhiteHouse He didn’t call it Taipei virus !! Get a life
2020-03-19 18:31:02;@WhiteHouse @US_FDA The media isn’t dishonest. The trump administration cannot handle the truth. The trump administ… https://t.co/ncuQOQ5nBQ
2020-03-19 18:31:01;I’m still amazed that anyone still in the @WhiteHouse was able to tell him how to spell Chinese. https://t.co/0zXg10M9A6
2020-03-19 18:31:00;@URBrain_Dead @jeffman53 @WhiteHouse @SteveFDA He does Nothing But criticize and obstruct.
2020-03-19 18:30:59;@tedlieu @WhiteHouse Stop Ted Lieu. Nobody is discriminating. You’re carrying China’s propaganda. Left media networ… https://t.co/hZaHBYXop9
2020-03-19 18:30:56;@kjones1984_ @briantylercohen @realDonaldTrump @WhiteHouse Right back at ya.
2020-03-19 18:30:55;@WhiteHouse @realDonaldTrump Not a word about the difficult recovery some people are facing, and not a word about t… https://t.co/7Qf0RbXGyB
2020-03-19 18:30:54;@tedlieu @WhiteHouse Are you talking about the Chinavirus Teddy?
2020-03-19 18:30:53;@WhiteHouse @realDonaldTrump What happens when restaurants and small business goes bankrupt? Airlines, hotels, ente… https://t.co/mWd5L8KWqe
2020-03-19 18:30:52;@JPTHANOSSNAP @WhiteHouse @realDonaldTrump Interesting posit. Considering Lebanon is in anarchy , no longer has any… https://t.co/XSJUnRaq8y
2020-03-19 18:30:52;@AnnieBthree @Janz4 @HackChurnalist @JJohnsonLaw @DavMicRot @WhiteHouse The date is in Jan before the official name was released
2020-03-19 18:30:51;@hamilton0551 @crnaBrian23 @WhiteHouse Yeah he was playing golf that day too!
2020-03-19 18:30:50;"@WhiteHouse @realDonaldTrump Where are the test kits?

Where are the medical supplies?"
2020-03-19 18:30:50;"@politvidchannel 
The Whitehouse clown reads at a sixth grade level speaks like a 6 yr old.
He has no real skill ex… https://t.co/mj4Y7UmWjg"
